hotel,is_canceled,arrival_date_year,arrival_date_month,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,is_repeated_guest,previous_cancellations,reserved_room_type,booking_changes,deposit_type,customer_type,adr,total_of_special_requests,reservation_status
Resort Hotel,1,2017,January,1,1,0,2,0,0,BB,PRT,Online TA,0,0,A,0,No Deposit,Transient,57.6,0,Canceled
Resort Hotel,1,2017,January,1,2,2,2,0,0,BB,AUT,Online TA,0,0,A,0,No Deposit,Transient,51.5,1,Canceled
Resort Hotel,1,2017,January,1,2,2,2,0,0,BB,AUT,Online TA,0,0,A,0,No Deposit,Transient,51.5,1,Canceled
Resort Hotel,1,2017,January,1,2,2,2,0,0,BB,AUT,Online TA,0,0,A,0,No Deposit,Transient,51.5,1,Canceled
Resort Hotel,1,2017,January,1,2,2,1,0,0,BB,PRT,Online TA,0,0,A,0,No Deposit,Transient,32.22,1,Canceled
Resort Hotel,1,2017,January,1,2,3,2,0,0,BB,ITA,Online TA,0,0,A,0,No Deposit,Transient,44.64,1,Canceled
Resort Hotel,1,2017,January,1,2,5,2,0,0,BB,BEL,Online TA,0,0,A,0,No Deposit,Transient,42.69,0,Canceled
Resort Hotel,1,2017,January,1,2,5,2,0,0,BB,GBR,Online TA,0,0,A,0,No Deposit,Transient,42.69,0,Canceled
Resort Hotel,1,2017,January,1,2,5,1,0,0,BB,DEU,Online TA,0,0,A,0,No Deposit,Transient,42.43,0,Canceled
Resort Hotel,1,2017,January,1,4,10,1,0,0,BB,PRT,Offline TA/TO,0,0,A,0,No Deposit,Transient,41.4,0,Canceled
Resort Hotel,1,2017,January,2,1,0,2,0,0,BB,PRT,Online TA,0,0,A,0,No Deposit,Transient,42,0,Canceled
Resort Hotel,1,2017,January,2,1,0,2,0,0,BB,PRT,Online TA,0,0,A,0,No Deposit,Transient,42,0,Canceled
Resort Hotel,1,2017,January,2,1,1,2,0,0,BB,BRA,Direct,0,0,A,1,No Deposit,Transient,34.02,1,Canceled
Resort Hotel,1,2017,January,2,1,3,2,0,0,BB,GBR,Online TA,0,0,D,0,No Deposit,Transient,46.8,1,No-Show
Resort Hotel,1,2017,January,2,1,3,2,0,0,BB,IRL,Online TA,0,0,E,1,No Deposit,Transient,55.8,1,Canceled
Resort Hotel,1,2017,January,2,1,3,2,0,0,BB,BRA,Online TA,0,0,A,0,No Deposit,Transient,48,1,Canceled
Resort Hotel,1,2017,January,2,1,3,2,0,0,BB,GBR,Online TA,0,0,E,0,No Deposit,Transient,55.8,0,Canceled
Resort Hotel,1,2017,January,2,1,4,2,0,0,BB,PRT,Direct,0,0,A,1,No Deposit,Transient,47.8,2,Canceled
Resort Hotel,1,2017,January,2,1,4,2,2,0,BB,ESP,Online TA,0,0,G,0,No Deposit,Transient,88,0,Canceled
Resort Hotel,1,2017,January,2,1,4,2,0,0,HB,PRT,Online TA,0,0,A,0,No Deposit,Transient,72,2,Canceled
Resort Hotel,1,2017,January,2,1,5,2,1,1,BB,FRA,Online TA,0,0,G,1,No Deposit,Transient,88,1,Canceled
Resort Hotel,1,2017,January,2,1,5,2,0,0,BB,PRT,Online TA,0,0,G,2,No Deposit,Transient,78.3,1,Canceled
Resort Hotel,1,2017,January,2,3,7,2,0,0,BB,GBR,Online TA,0,0,A,0,No Deposit,Transient,42,2,Canceled
Resort Hotel,1,2017,January,3,0,2,2,0,0,HB,ESP,Online TA,0,0,D,0,No Deposit,Transient,88,0,Canceled
Resort Hotel,1,2017,January,3,0,3,2,1,0,BB,BRA,Direct,0,0,G,0,No Deposit,Transient,79.8,0,Canceled
Resort Hotel,1,2017,January,3,0,4,3,0,0,BB,AUS,Online TA,0,0,E,0,No Deposit,Transient,62,2,Canceled
Resort Hotel,1,2017,January,3,0,4,2,1,0,BB,AUS,Online TA,0,0,H,0,No Deposit,Transient,87,2,Canceled
Resort Hotel,1,2017,January,3,0,5,2,2,0,BB,ITA,Online TA,0,0,G,0,No Deposit,Transient,87,0,Canceled
Resort Hotel,1,2017,January,3,2,5,2,0,0,BB,LUX,Online TA,0,0,A,0,No Deposit,Transient,42,0,Canceled
Resort Hotel,1,2017,January,3,2,5,2,0,0,BB,CHE,Online TA,0,0,A,0,No Deposit,Transient,37.8,1,Canceled
Resort Hotel,1,2017,January,4,0,1,1,0,0,BB,PRT,Direct,0,0,A,0,No Deposit,Transient,39,0,Canceled
Resort Hotel,1,2017,January,4,0,3,2,0,0,BB,GBR,Online TA,0,0,A,0,No Deposit,Transient,48,0,Canceled
Resort Hotel,1,2017,January,4,1,4,2,0,0,BB,BRA,Online TA,0,0,A,2,No Deposit,Transient,42,0,Canceled
Resort Hotel,1,2017,January,4,1,4,1,0,0,BB,BRA,Online TA,0,0,A,2,No Deposit,Transient,37,0,Canceled
Resort Hotel,1,2017,January,4,2,4,2,0,0,BB,PRT,Online TA,0,0,D,0,No Deposit,Transient,52,2,No-Show
Resort Hotel,1,2017,January,4,2,5,2,0,0,BB,GBR,Online TA,0,0,A,0,No Deposit,Transient,42,2,Canceled
Resort Hotel,1,2017,January,4,2,8,3,1,0,BB,ARG,Online TA,0,0,H,0,No Deposit,Transient,87,0,Canceled
Resort Hotel,1,2017,January,5,0,3,2,0,0,HB,PRT,Online TA,0,0,A,1,No Deposit,Transient,51.84,0,Canceled
Resort Hotel,1,2017,January,5,0,3,2,0,0,BB,ESP,Online TA,0,0,A,0,No Deposit,Transient,48,0,Canceled
Resort Hotel,1,2017,January,5,2,3,2,0,0,HB,GBR,Online TA,0,0,E,0,No Deposit,Transient,92,0,Canceled
Resort Hotel,1,2017,January,5,2,5,1,0,0,HB,EST,Online TA,0,0,D,0,No Deposit,Transient,80.1,1,Canceled
Resort Hotel,1,2017,January,6,0,2,2,0,0,HB,PRT,Offline TA/TO,0,0,A,0,No Deposit,Transient,60,1,Canceled
Resort Hotel,1,2017,January,6,0,2,2,0,0,HB,PRT,Offline TA/TO,0,0,A,0,No Deposit,Transient,60,1,Canceled
Resort Hotel,1,2017,January,6,2,3,1,0,0,BB,NGA,Online TA,0,0,A,0,No Deposit,Transient,43,1,No-Show
Resort Hotel,1,2017,January,6,2,6,2,0,0,BB,GBR,Online TA,0,0,D,0,No Deposit,Transient,53.5,0,Canceled
Resort Hotel,1,2017,January,6,4,10,2,0,0,BB,GBR,Direct,0,0,A,0,No Deposit,Transient,38.86,0,Canceled
Resort Hotel,1,2017,January,7,0,1,2,0,0,BB,ESP,Online TA,0,0,D,0,No Deposit,Transient,78,0,Canceled
Resort Hotel,1,2017,January,7,0,1,2,0,0,BB,PRT,Online TA,0,0,D,0,No Deposit,Transient,62,0,Canceled
Resort Hotel,1,2017,January,7,1,1,2,0,0,BB,BRA,Online TA,0,0,D,0,No Deposit,Transient,56.4,2,Canceled
Resort Hotel,1,2017,January,7,2,1,2,0,0,BB,IRL,Online TA,0,0,A,0,No Deposit,Transient,48,1,Canceled
Resort Hotel,1,2017,January,7,2,1,2,0,0,BB,ESP,Online TA,0,0,A,0,No Deposit,Transient,44,0,Canceled
Resort Hotel,1,2017,January,7,2,2,2,0,0,BB,IRL,Online TA,0,0,A,0,No Deposit,Transient,42,1,Canceled
Resort Hotel,1,2017,January,7,2,5,2,0,0,BB,IRL,Online TA,0,0,A,1,No Deposit,Transient,37.8,2,Canceled
Resort Hotel,1,2017,January,8,1,0,2,0,0,BB,BRA,Online TA,0,0,A,0,No Deposit,Transient,42,0,Canceled
Resort Hotel,1,2017,January,8,1,0,2,0,0,BB,BRA,Online TA,0,0,A,0,No Deposit,Transient,42,0,Canceled
Resort Hotel,1,2017,January,8,2,3,2,0,0,BB,GBR,Online TA,0,0,E,0,No Deposit,Transient,55.8,2,Canceled
Resort Hotel,1,2017,January,8,2,3,2,0,0,BB,ESP,Direct,0,0,A,0,No Deposit,Transient,67.8,0,Canceled
Resort Hotel,1,2017,January,8,2,5,2,0,0,BB,GBR,Online TA,0,0,A,0,No Deposit,Transient,42,2,Canceled
Resort Hotel,1,2017,January,9,1,2,2,0,0,BB,ESP,Online TA,0,0,E,0,No Deposit,Transient,55.8,2,Canceled
Resort Hotel,1,2017,January,9,2,5,1,0,0,BB,IRL,Online TA,0,0,A,0,No Deposit,Transient,37.8,0,Canceled
Resort Hotel,1,2017,January,9,2,5,2,0,0,BB,IRL,Online TA,0,0,A,0,No Deposit,Transient,37.8,0,Canceled
Resort Hotel,1,2017,January,9,2,5,2,0,0,BB,IRL,Online TA,0,0,A,0,No Deposit,Transient,37.8,0,Canceled
Resort Hotel,1,2017,January,9,2,5,2,0,0,BB,IRL,Online TA,0,0,A,0,No Deposit,Transient,37.8,0,Canceled
Resort Hotel,1,2017,January,10,0,1,2,0,0,BB,PRT,Direct,0,0,G,0,No Deposit,Transient,0,0,Canceled
Resort Hotel,1,2017,January,10,16,40,2,0,0,BB,PRT,Offline TA/TO,0,0,A,0,No Deposit,Transient,25.5,0,Canceled
Resort Hotel,1,2017,January,11,0,1,1,0,0,BB,PRT,Offline TA/TO,0,0,A,0,No Deposit,Transient,41,0,Canceled
Resort Hotel,1,2017,January,11,0,1,2,0,0,BB,ESP,Online TA,0,0,A,0,No Deposit,Transient,48,1,Canceled
Resort Hotel,1,2017,January,11,0,1,1,0,0,BB,PRT,Corporate,0,0,A,0,No Deposit,Transient,39,0,Canceled
Resort Hotel,1,2017,January,11,0,2,2,0,0,BB,PRT,Complementary,0,0,A,0,No Deposit,Transient,0,0,Canceled
Resort Hotel,1,2017,January,11,0,2,2,0,0,HB,CHE,Online TA,0,0,A,0,No Deposit,Transient,78,0,Canceled
Resort Hotel,1,2017,January,11,0,2,2,0,0,BB,FRA,Online TA,0,0,E,1,No Deposit,Transient,62,1,Canceled
Resort Hotel,1,2017,January,11,0,3,2,0,0,BB,CN,Online TA,0,0,A,0,No Deposit,Transient,42,1,Canceled
Resort Hotel,1,2017,January,11,4,10,2,0,0,BB,CN,Online TA,0,0,A,0,No Deposit,Transient,42,0,Canceled
Resort Hotel,1,2017,January,12,0,3,1,0,0,BB,GBR,Online TA,0,0,A,0,No Deposit,Transient,37,2,Canceled
Resort Hotel,1,2017,January,12,2,3,2,0,0,HB,GBR,Direct,0,0,A,0,No Deposit,Transient,47.8,0,Canceled
Resort Hotel,1,2017,January,12,4,12,1,0,0,BB,PRT,Online TA,0,0,A,0,No Deposit,Transient,33.31,1,No-Show
Resort Hotel,1,2017,January,12,2,6,2,0,0,BB,PRT,Online TA,0,0,A,0,No Deposit,Transient,37.8,1,Canceled
